child,parent
us-gaap:AccountsPayableAndAccruedLiabilitiesCurrent,us-gaap:AccountsPayableAndAccruedLiabilities
us-gaap:AccountsPayableAndAccruedLiabilitiesCurrent,us-gaap:Liabilities
us-gaap:AccountsPayableCurrent,us-gaap:AccountsPayableAndAccruedLiabilities
us-gaap:AccountsPayableOtherCurrent,us-gaap:AccountsPayableAndAccruedLiabilities
us-gaap:AccountsPayableTradeCurrent,us-gaap:AccountsPayableAndAccruedLiabilities
us-gaap:AccountsReceivableGrossCurrent,us-gaap:AccountsReceivableNet
us-gaap:AccountsReceivableNetCurrent,us-gaap:AccountsReceivableNet
us-gaap:AccountsReceivableNetNoncurrent,us-gaap:AccountsReceivableNet
us-gaap:AccountsReceivableSale,us-gaap:AccountsReceivableNet
us-gaap:AccrualForTaxesOtherThanIncomeTaxesCurrent,us-gaap:IncomeTaxExpenseBenefit
us-gaap:AccruedIncomeTaxesCurrent,us-gaap:IncomeTaxExpenseBenefit
us-gaap:AccruedIncomeTaxesCurrent,us-gaap:OtherCurrentLiabilities
us-gaap:AccruedIncomeTaxesNoncurrent,us-gaap:IncomeTaxExpenseBenefit
us-gaap:AccruedIncomeTaxesNoncurrent,us-gaap:OtherCurrentLiabilities
us-gaap:AccruedIncomeTaxesPayable,us-gaap:IncomeTaxExpenseBenefit
us-gaap:AccruedIncomeTaxesPayable,us-gaap:OtherCurrentLiabilities
us-gaap:AccruedLiabilities,us-gaap:AccountsPayableAndAccruedLiabilities
us-gaap:AccruedLiabilities,us-gaap:Liabilities
us-gaap:AccruedLiabilitiesCurrent,us-gaap:AccountsPayableAndAccruedLiabilities
us-gaap:AccruedLiabilitiesCurrentAndNoncurrent,us-gaap:AccountsPayableAndAccruedLiabilities
us-gaap:AccruedLiabilitiesCurrentAndNoncurrent,us-gaap:Liabilities
us-gaap:AccruedLiabilitiesForUnredeeemedGiftCards,us-gaap:AccountsPayableAndAccruedLiabilities
us-gaap:AccruedLiabilitiesForUnredeeemedGiftCards,us-gaap:Liabilities
us-gaap:AccruedRentCurrent,us-gaap:OtherCurrentLiabilities
us-gaap:AccumulatedDepreciationDepletionAndAmortizationExpensePropertyPlantAndEquipmentCurrentCharge,us-gaap:DepreciationAndAmortization
us-gaap:AccumulatedDepreciationDepletionAndAmortizationExpensePropertyPlantAndEquipmentCurrentCharge,us-gaap:PropertyPlantAndEquipmentNet
us-gaap:AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,us-gaap:PropertyPlantAndEquipmentNet
us-gaap:AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,us-gaap:AccumulatedOtherComprehensiveIncome
us-gaap:AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,us-gaap:NetIncomeLoss
us-gaap:AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,us-gaap:AccumulatedOtherComprehensiveIncome
us-gaap:AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,us-gaap:CashAndCashEquivalents
us-gaap:AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,us-gaap:NetIncomeLoss
us-gaap:AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,us-gaap:AccumulatedOtherComprehensiveIncome
us-gaap:AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,us-gaap:EmployeeBenefitPlans
us-gaap:AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,us-gaap:NetIncomeLoss
us-gaap:AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,us-gaap:AccumulatedOtherComprehensiveIncome
us-gaap:AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,us-gaap:NetIncomeLoss
us-gaap:AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap:AccumulatedOtherComprehensiveIncome
us-gaap:AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap:NetIncomeLoss
us-gaap:AcquiredFiniteLivedIntangibleAssetAmount,us-gaap:Assets
us-gaap:AcquiredFiniteLivedIntangibleAssetAmount,us-gaap:IntangibleAssetsNet
us-gaap:AcquiredFiniteLivedIntangibleAssetWeightedAverageUsefulLife,us-gaap:Assets
us-gaap:AcquiredFiniteLivedIntangibleAssetWeightedAverageUsefulLife,us-gaap:IntangibleAssetsNet
us-gaap:AcquiredIndefiniteLivedIntangibleAssetAmount,us-gaap:Assets
us-gaap:AcquiredIndefiniteLivedIntangibleAssetAmount,us-gaap:IntangibleAssetsNet
us-gaap:AdditionalPaidInCapitalCommonStock,us-gaap:AdditionalPaidInCapital
us-gaap:AdditionsToNoncurrentAssets,us-gaap:Assets
us-gaap:AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,us-gaap:AdditionalPaidInCapital
us-gaap:AdjustmentToAdditionalPaidInCapitalIncomeTaxEffectFromShareBasedCompensationNet,us-gaap:IncomeTaxExpenseBenefit
us-gaap:AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,us-gaap:CashAndCashEquivalents
us-gaap:AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivitiesOther,us-gaap:NetIncomeLoss
us-gaap:AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,us-gaap:AdditionalPaidInCapital
us-gaap:AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,us-gaap:LongTermDebtAndCapitalLeases
us-gaap:AdjustmentsToAdditionalPaidInCapitalOther,us-gaap:AdditionalPaidInCapital
us-gaap:AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,us-gaap:AdditionalPaidInCapital
us-gaap:AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,us-gaap:AdditionalPaidInCapital
us-gaap:AdjustmentsToAdditionalPaidInCapitalWarrantIssued,us-gaap:AdditionalPaidInCapital
us-gaap:AllowanceForDoubtfulAccountsReceivable,us-gaap:AccountsReceivableNet
us-gaap:AllowanceForDoubtfulAccountsReceivableCurrent,us-gaap:AccountsReceivableNet
us-gaap:AllowanceForDoubtfulAccountsReceivableNoncurrent,us-gaap:AccountsReceivableNet
us-gaap:AllowanceForDoubtfulAccountsReceivableWriteOffs,us-gaap:AccountsReceivableNet
us-gaap:AmortizationOfAcquiredIntangibleAssets,us-gaap:Assets
us-gaap:AmortizationOfAcquiredIntangibleAssets,us-gaap:IntangibleAssetsNet
us-gaap:AmortizationOfIntangibleAssets,us-gaap:Assets
us-gaap:AmortizationOfIntangibleAssets,us-gaap:IntangibleAssetsNet
us-gaap:AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,us-gaap:EarningsPerShare
us-gaap:AociLossCashFlowHedgeCumulativeGainLossAfterTax,us-gaap:CashAndCashEquivalents
us-gaap:AssetImpairmentCharges,us-gaap:Assets
us-gaap:AssetImpairmentCharges,us-gaap:OtherOperatingExpenses
us-gaap:AssetRetirementObligation,us-gaap:Assets
us-gaap:AssetRetirementObligation,us-gaap:OtherNoncurrentLiabilities
us-gaap:AssetRetirementObligationAccretionExpense,us-gaap:Assets
us-gaap:AssetRetirementObligationAccretionExpense,us-gaap:OtherNoncurrentLiabilities
us-gaap:AssetRetirementObligationLiabilitiesIncurred,us-gaap:Assets
us-gaap:AssetRetirementObligationLiabilitiesIncurred,us-gaap:Liabilities
us-gaap:AssetRetirementObligationLiabilitiesIncurred,us-gaap:OtherNoncurrentLiabilities
us-gaap:AssetRetirementObligationLiabilitiesSettled,us-gaap:Assets
us-gaap:AssetRetirementObligationLiabilitiesSettled,us-gaap:Liabilities
us-gaap:AssetRetirementObligationLiabilitiesSettled,us-gaap:OtherNoncurrentLiabilities
us-gaap:AssetRetirementObligationRevisionOfEstimate,us-gaap:Assets
us-gaap:AssetRetirementObligationRevisionOfEstimate,us-gaap:OtherNoncurrentLiabilities
us-gaap:AssetRetirementObligationsNoncurrent,us-gaap:Assets
us-gaap:AssetRetirementObligationsNoncurrent,us-gaap:OtherNoncurrentLiabilities
us-gaap:AssetsFairValueDisclosure,us-gaap:Assets
us-gaap:AssetsFairValueDisclosureRecurring,us-gaap:Assets
us-gaap:AssetsHeldForSaleAtCarryingValue,us-gaap:Assets
us-gaap:AssetsHeldForSaleCurrent,us-gaap:Assets
us-gaap:AssetsHeldForSaleLongLivedFairValueDisclosure,us-gaap:Assets
us-gaap:AssetsHeldForSaleNotPartOfDisposalGroupCurrent,us-gaap:Assets
us-gaap:AssetsOfDisposalGroupIncludingDiscontinuedOperation,us-gaap:Assets
us-gaap:AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,us-gaap:Assets
us-gaap:AssetsOfDisposalGroupIncludingDiscontinuedOperationNoncurrent,us-gaap:Assets
us-gaap:AvailableForSaleSecuritiesAndHeldToMaturitySecurities,us-gaap:LongTermInvestments
us-gaap:AvailableForSaleSecuritiesCurrent,us-gaap:ShortTermInvestments
us-gaap:AvailableForSaleSecuritiesDebtSecuritiesCurrent,us-gaap:ShortTermInvestments
us-gaap:AvailableForSaleSecuritiesDebtSecuritiesNoncurrent,us-gaap:LongTermInvestments
us-gaap:AvailableForSaleSecuritiesDebtSecuritiesNoncurrent,us-gaap:ShortTermInvestments
us-gaap:AvailableForSaleSecuritiesNoncurrent,us-gaap:LongTermInvestments
us-gaap:AvailableForSaleSecuritiesNoncurrent,us-gaap:ShortTermInvestments
us-gaap:BuildingsAndImprovementsGross,us-gaap:PropertyPlantAndEquipmentNet
us-gaap:BusinessAcquisitionContingentConsiderationPotentialCashPayment,us-gaap:CashAndCashEquivalents
us-gaap:BusinessAcquisitionCostOfAcquiredEntityCashPaid,us-gaap:CashAndCashEquivalents
us-gaap:BusinessAcquisitionCostOfAcquiredEntityOtherNoncashConsideration,us-gaap:CashAndCashEquivalents
us-gaap:BusinessAcquisitionProFormaEarningsPerShareBasic,us-gaap:EarningsPerShare
us-gaap:BusinessAcquisitionProFormaEarningsPerShareDiluted,us-gaap:EarningsPerShare
us-gaap:BusinessAcquisitionProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTaxPerShareBasic,us-gaap:NetIncomeLoss
us-gaap:BusinessAcquisitionProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTaxPerShareDiluted,us-gaap:NetIncomeLoss
us-gaap:BusinessAcquisitionProFormaNetIncomeLoss,us-gaap:NetIncomeLoss
us-gaap:BusinessAcquisitionPurchasePriceAllocationAmortizableIntangibleAssets,us-gaap:Assets
us-gaap:BusinessAcquisitionPurchasePriceAllocationAmortizableIntangibleAssets,us-gaap:IntangibleAssetsNet
us-gaap:BusinessAcquisitionPurchasePriceAllocationAssetsAcquired,us-gaap:Assets
us-gaap:BusinessAcquisitionPurchasePriceAllocationAssetsAcquiredLiabilitiesAssumedNet,us-gaap:Assets
us-gaap:BusinessAcquisitionPurchasePriceAllocationAssetsAcquiredLiabilitiesAssumedNet,us-gaap:Liabilities
us-gaap:BusinessAcquisitionPurchasePriceAllocationCurrentAssets,us-gaap:Assets
us-gaap:BusinessAcquisitionPurchasePriceAllocationCurrentAssetsCashAndCashEquivalents,us-gaap:Assets
us-gaap:BusinessAcquisitionPurchasePriceAllocationCurrentAssetsCashAndCashEquivalents,us-gaap:CashAndCashEquivalents
us-gaap:BusinessAcquisitionPurchasePriceAllocationCurrentAssetsInventory,us-gaap:Assets
us-gaap:BusinessAcquisitionPurchasePriceAllocationCurrentAssetsInventory,us-gaap:InventoryNet
us-gaap:BusinessAcquisitionPurchasePriceAllocationCurrentAssetsPrepaidExpenseAndOtherAssets,us-gaap:Assets
us-gaap:BusinessAcquisitionPurchasePriceAllocationCurrentAssetsPrepaidExpenseAndOtherAssets,us-gaap:OtherNoncurrentAssets
us-gaap:BusinessAcquisitionPurchasePriceAllocationCurrentAssetsPrepaidExpenseAndOtherAssets,us-gaap:PrepaidExpensesAndOtherCurrentAssets
us-gaap:BusinessAcquisitionPurchasePriceAllocationCurrentAssetsReceivables,us-gaap:Assets
us-gaap:BusinessAcquisitionPurchasePriceAllocationCurrentLiabilities,us-gaap:Liabilities
us-gaap:BusinessAcquisitionPurchasePriceAllocationCurrentLiabilitiesAccountsPayable,us-gaap:AccountsPayableAndAccruedLiabilities
us-gaap:BusinessAcquisitionPurchasePriceAllocationCurrentLiabilitiesAccountsPayable,us-gaap:Liabilities
us-gaap:BusinessAcquisitionPurchasePriceAllocationDeferredIncomeTaxesAssetLiabilityNet,us-gaap:Assets
us-gaap:BusinessAcquisitionPurchasePriceAllocationDeferredIncomeTaxesAssetLiabilityNet,us-gaap:IncomeTaxExpenseBenefit
us-gaap:BusinessAcquisitionPurchasePriceAllocationDeferredIncomeTaxesAssetLiabilityNet,us-gaap:Liabilities
us-gaap:BusinessAcquisitionPurchasePriceAllocationGoodwillAmount,us-gaap:IntangibleAssetsNet
us-gaap:BusinessAcquisitionPurchasePriceAllocationGoodwillExpectedTaxDeductibleAmount,us-gaap:IntangibleAssetsNet
us-gaap:BusinessAcquisitionPurchasePriceAllocationLiabilitiesAssumed,us-gaap:Liabilities
us-gaap:BusinessAcquisitionPurchasePriceAllocationOtherNoncurrentAssets,us-gaap:Assets
us-gaap:BusinessAcquisitionPurchasePriceAllocationOtherNoncurrentLiabilities,us-gaap:Liabilities
us-gaap:BusinessAcquisitionPurchasePriceAllocationPropertyPlantAndEquipment,us-gaap:PropertyPlantAndEquipmentNet
us-gaap:BusinessAcquisitionsProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax,us-gaap:NetIncomeLoss
us-gaap:BusinessAcquisitionsProFormaNetIncomeLoss,us-gaap:NetIncomeLoss
us-gaap:BusinessCombinationConsiderationTransferredLiabilitiesIncurred,us-gaap:Liabilities
us-gaap:BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability,us-gaap:Liabilities
us-gaap:BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,us-gaap:Liabilities
us-gaap:BusinessCombinationContingentConsiderationLiability,us-gaap:Liabilities
us-gaap:BusinessCombinationContingentConsiderationLiabilityCurrent,us-gaap:Liabilities
us-gaap:BusinessCombinationContingentConsiderationLiabilityNoncurrent,us-gaap:Liabilities
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,us-gaap:Assets
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedAssets,us-gaap:Liabilities
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,us-gaap:Assets
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,us-gaap:CashAndCashEquivalents
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,us-gaap:Liabilities
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssets,us-gaap:Assets
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssets,us-gaap:Liabilities
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsMarketableSecurities,us-gaap:Assets
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsMarketableSecurities,us-gaap:Liabilities
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsMarketableSecurities,us-gaap:ShortTermInvestments
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsOther,us-gaap:Assets
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsOther,us-gaap:Liabilities
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables,us-gaap:Assets
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables,us-gaap:Liabilities
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilities,us-gaap:Assets
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilities,us-gaap:Liabilities
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable,us-gaap:AccountsPayableAndAccruedLiabilities
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable,us-gaap:Assets
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesAccountsPayable,us-gaap:Liabilities
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesOther,us-gaap:Assets
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilitiesOther,us-gaap:Liabilities
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxLiabilities,us-gaap:Assets
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxLiabilities,us-gaap:Liabilities
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxLiabilitiesNoncurrent,us-gaap:Assets
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxLiabilitiesNoncurrent,us-gaap:DeferredTaxLiabilitiesNet
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxLiabilitiesNoncurrent,us-gaap:Liabilities
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,us-gaap:Assets
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,us-gaap:IntangibleAssetsNet
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,us-gaap:Liabilities
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,us-gaap:Assets
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,us-gaap:Liabilities
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedInventory,us-gaap:Assets
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedInventory,us-gaap:InventoryNet
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedInventory,us-gaap:Liabilities
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLiabilities,us-gaap:Assets
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLiabilities,us-gaap:Liabilities
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,us-gaap:Assets
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,us-gaap:Liabilities
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilities,us-gaap:Assets
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilities,us-gaap:Liabilities
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesLongTermDebt,us-gaap:Assets
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesLongTermDebt,us-gaap:Liabilities
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesOther,us-gaap:Assets
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesOther,us-gaap:Liabilities
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedOtherNoncurrentAssets,us-gaap:Assets
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedOtherNoncurrentAssets,us-gaap:Liabilities
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,us-gaap:Assets
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,us-gaap:Liabilities
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,us-gaap:PropertyPlantAndEquipmentNet
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedLessNoncontrollingInterest,us-gaap:Assets
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedLessNoncontrollingInterest,us-gaap:IntangibleAssetsNet
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedLessNoncontrollingInterest,us-gaap:Liabilities
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedLessNoncontrollingInterest,us-gaap:PropertyPlantAndEquipmentNet
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,us-gaap:Assets
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,us-gaap:IntangibleAssetsNet
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,us-gaap:Liabilities
us-gaap:BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,us-gaap:PropertyPlantAndEquipmentNet
us-gaap:CapitalLeaseObligations,us-gaap:LongTermDebtAndCapitalLeases
us-gaap:CapitalLeaseObligationsCurrent,us-gaap:LongTermDebtAndCapitalLeases
us-gaap:CapitalLeaseObligationsIncurred,us-gaap:LongTermDebtAndCapitalLeases
us-gaap:CapitalLeaseObligationsNoncurrent,us-gaap:LongTermDebtAndCapitalLeases
us-gaap:CapitalLeasedAssetsGross,us-gaap:Assets
us-gaap:CapitalLeasesBalanceSheetAssetsByMajorClassNet,us-gaap:Assets
us-gaap:CapitalLeasesLesseeBalanceSheetAssetsByMajorClassAccumulatedDeprecation,us-gaap:Assets
us-gaap:CapitalLeasesLesseeBalanceSheetAssetsByMajorClassOtherPropertyPlantAndEquipment,us-gaap:Assets
us-gaap:CapitalLeasesLesseeBalanceSheetAssetsByMajorClassOtherPropertyPlantAndEquipment,us-gaap:PropertyPlantAndEquipmentNet
us-gaap:CapitalRequiredForCapitalAdequacyToRiskWeightedAssets,us-gaap:Assets
us-gaap:CapitalizedComputerSoftwareAccumulatedAmortization,us-gaap:IntangibleAssetsNet
us-gaap:CapitalizedComputerSoftwareAdditions,us-gaap:IntangibleAssetsNet
us-gaap:CapitalizedComputerSoftwareAmortization,us-gaap:IntangibleAssetsNet
us-gaap:CapitalizedComputerSoftwareAmortization1,us-gaap:IntangibleAssetsNet
us-gaap:CapitalizedComputerSoftwareGross,us-gaap:IntangibleAssetsNet
us-gaap:CapitalizedComputerSoftwareNet,us-gaap:IntangibleAssetsNet
us-gaap:Cash,us-gaap:CashAndCashEquivalents
us-gaap:CashAcquiredFromAcquisition,us-gaap:CashAndCashEquivalents
us-gaap:CashAndCashEquivalentsAtCarryingValue,us-gaap:CashAndCashEquivalents
us-gaap:CashAndCashEquivalentsAtCarryingValueIncludingDiscontinuedOperations,us-gaap:CashAndCashEquivalents
us-gaap:CashAndCashEquivalentsFairValueDisclosure,us-gaap:CashAndCashEquivalents
us-gaap:CashAndCashEquivalentsPeriodIncreaseDecrease,us-gaap:CashAndCashEquivalents
us-gaap:CashAndDueFromBanks,us-gaap:CashAndCashEquivalents
us-gaap:CashCashEquivalentsAndShortTermInvestments,us-gaap:CashAndCashEquivalents
us-gaap:CashCashEquivalentsAndShortTermInvestments,us-gaap:ShortTermInvestments
us-gaap:CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,us-gaap:CashAndCashEquivalents
us-gaap:CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsIncludingDisposalGroupAndDiscontinuedOperations,us-gaap:CashAndCashEquivalents
us-gaap:CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,us-gaap:CashAndCashEquivalents
